year,peak_consump,asset_id,energy_type,asset_domain,asset_type,scenario
2025,20.101,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2026,20.101,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2027,20.101,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2028,20.101,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2029,20.101,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2030,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2031,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2032,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2033,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2034,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2035,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2036,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2037,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2038,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2039,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2040,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2041,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2042,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2043,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2044,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2045,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2046,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2047,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2048,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2049,96.09,TB_1,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2025,15.25,TB_2,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
