year,retrofit_year,asset_id,asset_domain,asset_type,scenario
2025,True,EX_001,building,building_aggregate,ex_managed_elec_2
2026,False,EX_001,building,building_aggregate,ex_managed_elec_2
2027,False,EX_001,building,building_aggregate,ex_managed_elec_2
2028,False,EX_001,building,building_aggregate,ex_managed_elec_2
2029,False,EX_001,building,building_aggregate,ex_managed_elec_2
2030,False,EX_001,building,building_aggregate,ex_managed_elec_2
2031,False,EX_001,building,building_aggregate,ex_managed_elec_2
2032,False,EX_001,building,building_aggregate,ex_managed_elec_2
2033,False,EX_001,building,building_aggregate,ex_managed_elec_2
2034,False,EX_001,building,building_aggregate,ex_managed_elec_2
2035,False,EX_001,building,building_aggregate,ex_managed_elec_2
2036,False,EX_001,building,building_aggregate,ex_managed_elec_2
2037,False,EX_001,building,building_aggregate,ex_managed_elec_2
2038,False,EX_001,building,building_aggregate,ex_managed_elec_2
2039,False,EX_001,building,building_aggregate,ex_managed_elec_2
2040,False,EX_001,building,building_aggregate,ex_managed_elec_2
2041,False,EX_001,building,building_aggregate,ex_managed_elec_2
2042,False,EX_001,building,building_aggregate,ex_managed_elec_2
2043,False,EX_001,building,building_aggregate,ex_managed_elec_2
2044,False,EX_001,building,building_aggregate,ex_managed_elec_2
2045,False,EX_001,building,building_aggregate,ex_managed_elec_2
2046,False,EX_001,building,building_aggregate,ex_managed_elec_2
2047,False,EX_001,building,building_aggregate,ex_managed_elec_2
2048,False,EX_001,building,building_aggregate,ex_managed_elec_2
2049,False,EX_001,building,building_aggregate,ex_managed_elec_2
2025,True,EX_002,building,building_aggregate,ex_managed_elec_2
2026,False,EX_002,building,building_aggregate,ex_managed_elec_2
2027,False,EX_002,building,building_aggregate,ex_managed_elec_2
2028,False,EX_002,building,building_aggregate,ex_managed_elec_2
2029,False,EX_002,building,building_aggregate,ex_managed_elec_2
2030,False,EX_002,building,building_aggregate,ex_managed_elec_2
2031,False,EX_002,building,building_aggregate,ex_managed_elec_2
2032,False,EX_002,building,building_aggregate,ex_managed_elec_2
2033,False,EX_002,building,building_aggregate,ex_managed_elec_2
2034,False,EX_002,building,building_aggregate,ex_managed_elec_2
2035,False,EX_002,building,building_aggregate,ex_managed_elec_2
2036,False,EX_002,building,building_aggregate,ex_managed_elec_2
2037,False,EX_002,building,building_aggregate,ex_managed_elec_2
2038,False,EX_002,building,building_aggregate,ex_managed_elec_2
2039,False,EX_002,building,building_aggregate,ex_managed_elec_2
2040,False,EX_002,building,building_aggregate,ex_managed_elec_2
2041,False,EX_002,building,building_aggregate,ex_managed_elec_2
