year,peak_consump,asset_id,energy_type,asset_domain,asset_type,scenario
2020,10.087365806883003,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2021,10.087365806883003,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2022,10.356431048370332,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2023,10.356431048370332,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2024,10.356431048370332,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2025,10.356431048370332,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2026,10.356431048370332,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2027,10.356431048370332,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2028,10.356431048370332,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2029,10.356431048370332,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2030,10.356431048370332,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2031,10.356431048370332,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2032,11.521729094095203,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2033,11.521729094095203,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2034,14.76036663925417,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2035,14.76036663925417,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2036,14.76036663925417,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2037,16.13769166472045,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2038,16.13769166472045,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2039,17.92092723370987,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2040,17.92092723370987,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2041,17.92092723370987,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2042,17.92092723370987,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2043,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2044,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2045,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2046,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2047,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2048,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2049,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2050,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2051,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2052,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2053,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2054,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2055,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2056,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2057,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2058,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2059,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2060,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2061,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2062,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2063,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2064,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2065,19.53168189896062,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2020,29.613666281039205,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2021,29.613666281039205,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2022,23.50595619863041,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2023,26.939810743413464,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2024,26.939810743413464,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2025,30.19929792164734,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2026,30.19929792164734,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2027,30.19929792164734,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2028,30.19929792164734,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2029,31.907849530826525,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2030,31.907849530826525,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2031,33.353986568373415,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2032,33.353986568373415,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2033,33.353986568373415,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2034,34.909089091823155,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2035,34.909089091823155,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2036,34.909089091823155,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2037,36.39433465389426,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2038,36.39433465389426,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2039,36.39433465389426,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2040,37.94943717734399,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2041,39.59887248694763,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2042,42.88439300303016,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2043,44.64031661857064,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2044,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2045,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2046,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2047,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2048,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2049,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2050,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2051,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2052,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2053,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2054,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2055,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2056,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2057,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2058,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2059,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2060,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2061,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2062,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2063,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2064,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2065,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2020,15.716960162820332,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2021,15.716960162820332,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2022,15.716960162820332,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2023,16.00616500138524,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2024,16.00616500138524,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2025,16.00616500138524,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
