year,retrofit_year,asset_id,asset_domain,asset_type,scenario
2020,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2021,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2022,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2023,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2024,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2025,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2026,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2027,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2028,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2029,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2030,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2031,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2032,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2033,True,F_353059_2906776,building,building_aggregate,hybrid_gas
2034,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2035,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2036,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2037,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2038,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2039,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2040,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2041,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2042,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2043,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2044,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2045,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2046,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2047,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2048,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2049,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2050,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2051,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2052,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2053,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2054,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2055,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2056,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2057,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2058,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2059,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2060,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2061,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2062,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2063,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2064,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2065,False,F_353059_2906776,building,building_aggregate,hybrid_gas
2020,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2021,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2022,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2023,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2024,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2025,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2026,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2027,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2028,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2029,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2030,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2031,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2032,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2033,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2034,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2035,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2036,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2037,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2038,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2039,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2040,True,F_353062_2906646,building,building_aggregate,hybrid_gas
2041,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2042,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2043,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2044,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2045,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2046,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2047,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2048,False,F_353062_2906646,building,building_aggregate,hybrid_gas
2049,False,F_353062_2906646,building,building_aggregate,hybrid_gas
