year,consumption_costs,asset_id,energy_type,asset_domain,asset_type,scenario
2020,1577.0394792513282,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2021,1577.0394792513282,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2022,1577.0394792513282,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2023,1577.0394792513282,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2024,1577.0394792513282,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2025,1592.8098698138845,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2026,1608.7379743282142,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2027,1624.825347303565,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2028,1641.0736066985403,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2029,1657.4843387470669,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2030,1674.059182557533,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2031,1690.7997772383294,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2032,2279.281055679179,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2033,2302.073865530255,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2034,2325.09460771414,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2035,2348.345554638141,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2036,2371.829006938227,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2037,2395.547293479026,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2038,2419.5027713538325,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2039,2443.6977976559374,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2040,2468.134785935959,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2041,2492.8161215158498,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2042,2517.7442885178843,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2043,2542.92172872134,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2044,2568.3509544771523,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2045,2594.034464021924,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2046,2619.9747979352514,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2047,2646.1745532540563,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2048,2672.636298786597,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2049,2699.3626597984567,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
