year,consumption_emissions,asset_id,energy_type,asset_domain,asset_type,scenario
2020,4.758701776732638,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2021,4.758701776732638,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2022,4.758701776732638,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2023,4.758701776732638,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2024,4.615940723430659,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2025,4.4774625017277385,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2026,4.343138626675906,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2027,4.2128444678756285,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2028,4.08645913383936,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2029,3.963865359824179,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2030,3.8449493990294537,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2031,3.7296009170585696,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2032,4.828568790836295,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2033,4.683711727111206,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2034,4.54320037529787,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2035,4.406904364038933,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2036,4.274697233117765,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2037,4.146456316124232,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2038,4.022062626640506,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2039,3.9014007478412895,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2040,3.7843587254060513,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2041,3.6708279636438697,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2042,3.560703124734553,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2043,3.4538820309925167,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2044,3.3502655700627413,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2045,3.249757602960859,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2046,3.152264874872033,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2047,3.057696928625872,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2048,2.965966020767096,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2049,2.876987040144083,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2050,2.79067742893976,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2051,2.706957106071567,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2052,2.62574839288942,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2053,2.5469759411027373,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
2054,2.470566662869655,F_350460_2902490,electricity,building,building_aggregate,hybrid_gas
