year,leaks,asset_id,asset_domain,asset_type,scenario
2020,2.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2021,2.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2022,2.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2023,2.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2024,2.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2025,2.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2026,2.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2027,2.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2028,2.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2029,2.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2030,2.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2031,2.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2032,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2033,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2034,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2035,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2036,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2037,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2038,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2039,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2040,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2041,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2042,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2043,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2044,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2045,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2046,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2047,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2048,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2049,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2050,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2051,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2052,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2053,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2054,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2055,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2056,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2057,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2058,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2059,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2060,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2061,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2062,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2063,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2064,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2065,1.0,F_350460_2902490,building,building_aggregate,hybrid_gas
2020,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2021,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2022,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2023,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2024,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2025,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2026,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2027,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2028,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2029,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2030,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2031,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2032,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2033,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2034,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2035,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2036,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2037,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2038,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2039,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2040,2.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2041,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2042,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2043,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2044,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2045,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2046,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2047,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2048,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2049,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2050,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2051,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2052,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2053,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2054,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2055,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2056,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2057,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2058,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2059,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2060,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2061,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2062,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2063,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2064,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2065,1.0,F_350459_2902427,building,building_aggregate,hybrid_gas
2020,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2021,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2022,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2023,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2024,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2025,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2026,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2027,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2028,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2029,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2030,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2031,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2032,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2033,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2034,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2035,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2036,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2037,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2038,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2039,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2040,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2041,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2042,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2043,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2044,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2045,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2046,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2047,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2048,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2049,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2050,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2051,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2052,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2053,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2054,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2055,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2056,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2057,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2058,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2059,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2060,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2061,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2062,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2063,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2064,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2065,0.0,F_350459_2902366,building,building_aggregate,hybrid_gas
2020,2.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2021,2.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2022,2.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2023,2.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2024,2.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2025,2.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2026,2.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2027,2.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2028,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2029,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2030,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2031,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2032,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2033,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2034,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2035,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2036,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2037,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2038,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2039,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2040,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2041,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2042,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2043,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2044,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2045,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2046,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2047,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2048,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2049,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2050,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2051,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2052,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2053,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2054,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2055,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2056,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2057,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2058,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2059,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2060,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2061,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2062,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2063,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2064,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2065,1.0,F_350459_2902307,building,building_aggregate,hybrid_gas
2020,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2021,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2022,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2023,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2024,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2025,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2026,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2027,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2028,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2029,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2030,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2031,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2032,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2033,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2034,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2035,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2036,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2037,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2038,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2039,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2040,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2041,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2042,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2043,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2044,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2045,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2046,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2047,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2048,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2049,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2050,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2051,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2052,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2053,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2054,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2055,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2056,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2057,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2058,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2059,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2060,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2061,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2062,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2063,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2064,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2065,0.0,F_350459_2902248,building,building_aggregate,hybrid_gas
2020,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2021,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2022,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2023,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2024,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2025,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2026,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2027,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2028,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2029,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2030,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2031,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2032,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2033,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2034,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2035,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2036,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2037,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2038,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2039,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2040,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2041,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2042,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2043,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2044,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2045,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2046,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2047,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2048,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2049,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2050,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2051,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2052,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2053,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2054,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2055,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2056,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2057,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2058,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2059,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2060,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2061,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2062,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2063,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2064,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2065,0.0,F_350458_2902189,building,building_aggregate,hybrid_gas
2020,2.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2021,2.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2022,2.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2023,2.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2024,2.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2025,2.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2026,2.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2027,2.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2028,2.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2029,2.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2030,2.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2031,2.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2032,2.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2033,2.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2034,2.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2035,1.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2036,1.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2037,1.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2038,1.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2039,1.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2040,1.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2041,1.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2042,1.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2043,1.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2044,1.0,F_350458_2902131,building,building_aggregate,hybrid_gas
2045,1.0,F_350458_2902131,building,building_aggregate,hybrid_gas
