year,annual_operating_costs,asset_id,asset_domain,asset_type,scenario
2020,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2021,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2022,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2023,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2024,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2025,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2026,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2027,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2028,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2029,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2030,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2031,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2032,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2033,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2034,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2035,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2036,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2037,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2038,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2039,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2040,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2041,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2042,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2043,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2044,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2045,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2046,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2047,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2048,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2049,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2050,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2051,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2052,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2053,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2054,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2055,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2056,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2057,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2058,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2059,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2060,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2061,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2062,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2063,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2064,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2065,76.70454545454545,GS002,gas_network,gas_service,hybrid_gas
2020,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2021,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2022,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2023,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2024,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2025,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2026,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2027,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2028,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2029,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2030,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2031,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2032,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2033,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2034,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2035,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2036,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2037,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2038,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2039,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2040,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2041,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2042,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2043,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2044,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2045,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2046,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2047,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2048,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2049,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2050,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2051,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2052,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2053,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2054,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
2055,76.70454545454545,GS008,gas_network,gas_service,hybrid_gas
