year,peak_consump,asset_id,energy_type,asset_domain,asset_type,scenario
2020,16.6339301536201,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2021,16.6339301536201,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2022,16.6339301536201,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2023,16.6339301536201,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2024,16.6339301536201,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2025,16.6339301536201,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2026,16.6339301536201,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2027,16.8650283127259,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2028,16.8650283127259,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2029,16.8650283127259,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2030,17.60015488644166,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2031,19.071012644665625,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2032,19.071012644665625,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2033,19.071012644665625,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2034,19.071012644665625,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2035,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2036,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2037,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2038,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2039,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2040,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2041,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2042,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2043,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2044,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2045,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2046,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2047,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2048,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2049,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2050,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2051,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2052,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2053,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
2054,20.566200507401877,TB001,electricity,elec_network,elec_xmfr,hybrid_gas
