asset,year,ID,gas_consump_annual,gas_peak_annual,gas_leakage_annual
main,2021,1,1,1,1
main,2022,1,1,1,1
main,2023,1,1,1,1
main,2024,1,1,1,1
main,2025,1,1,1,1
main,2026,1,1,1,1
main,2027,1,1,1,1
main,2028,1,1,1,1
main,2029,1,1,1,1
main,2030,1,1,1,1
main,2021,2,1.5,1.5,1.5
main,2022,2,1.5,1.5,1.5
main,2023,2,1.5,1.5,1.5
main,2024,2,1.5,1.5,1.5
main,2025,2,1.5,1.5,1.5
main,2026,2,1.5,1.5,1.5
main,2027,2,1.5,1.5,1.5
main,2028,2,1.5,1.5,1.5
main,2029,2,1.5,1.5,1.5
main,2030,2,1.5,1.5,1.5
main,2021,3,2,2,2
main,2022,3,2,2,2
main,2023,3,2,2,2
main,2024,3,2,2,2
main,2025,3,2,2,2
main,2026,3,2,2,2
main,2027,3,2,2,2
main,2028,3,2,2,2
main,2029,3,2,2,2
main,2030,3,2,2,2
